model,eps,intervention,n,delta_dp_median,wilcoxon_dp_p,delta_eo_median,wilcoxon_eo_p,delta_acc_median,wilcoxon_acc_p
logreg,1.0,expgrad,10,-0.044508022590526664,0.037109375,0.04722222222222222,0.16015625,-0.007180640380241798,0.009765625
logreg,1.0,reweighting,10,-0.027142124234134396,0.001953125,-0.014444444444444426,0.322265625,-0.0013160248383717321,0.001953125
logreg,1.0,threshold,10,-0.05273138978130362,0.037109375,-0.09833333333333341,0.001953125,-0.02054531980681268,0.001953125
logreg,2.0,expgrad,10,-0.05245358583587548,0.001953125,0.01222222222222219,0.71484375,-0.006988986277566278,0.001953125
logreg,2.0,reweighting,10,-0.029876843545689563,0.001953125,-0.0011111111111111183,0.76953125,-0.00134157871872842,0.001953125
logreg,2.0,threshold,10,-0.08507261006400756,0.02734375,-0.05722222222222234,0.00390625,-0.02741931362277361,0.001953125
logreg,4.0,expgrad,10,-0.08730509557199691,0.02734375,0.034999999999999976,0.11328125,-0.007397848363273951,0.001953125
logreg,4.0,reweighting,10,-0.03345930969979649,0.001953125,-0.030555555555555558,0.09765625,-0.0012904709580149887,0.001953125
logreg,4.0,threshold,10,-0.12142181466044674,0.001953125,-0.1066666666666668,0.083984375,-0.018347686096133686,0.001953125
logreg,8.0,expgrad,10,-0.039251239155052964,0.921875,0.065,0.015625,-0.008177241714154293,0.001953125
logreg,8.0,reweighting,10,-0.035277316062926195,0.001953125,-0.003888888888888886,0.90625,-0.0008943858124856874,0.001953125
logreg,8.0,threshold,10,-0.10581389740964799,0.01953125,-0.1066666666666668,0.00390625,-0.02679324355403373,0.001953125
logreg,inf,expgrad,1,-0.1191704138680924,,-0.20444444444444454,,-0.013875757033705582,
logreg,inf,reweighting,1,-0.1816308255542068,,-0.2766666666666667,,-0.0050341144302762375,
logreg,inf,threshold,1,-0.2134804504396139,,-0.3044444444444445,,-0.040605115886847454,
xgboost,1.0,expgrad,10,-0.08922588991087399,0.01953125,0.01722222222222225,0.201171875,-0.002977027061559334,0.064453125
xgboost,1.0,reweighting,10,-0.03481830621864079,0.001953125,-0.05222222222222217,0.001953125,-0.0008177241714154571,0.390625
xgboost,1.0,threshold,10,-0.04678767001583223,0.083984375,-0.15444444444444452,0.00390625,-0.022794061278205158,0.001953125
xgboost,2.0,expgrad,10,-0.10953891806634689,0.001953125,-0.013333333333333308,0.98046875,-0.004995783609741122,0.001953125
xgboost,2.0,reweighting,10,-0.022958795803557808,0.001953125,-0.06333333333333324,0.001953125,7.666164107017481e-05,0.75
xgboost,2.0,threshold,10,-0.11147672963476829,0.001953125,-0.21444444444444452,0.009765625,-0.030255794342370856,0.001953125
xgboost,4.0,expgrad,10,-0.10280973281233108,0.001953125,-0.0028431372549019285,0.921875,-0.005609076738302687,0.001953125
xgboost,4.0,reweighting,10,-0.02676935177841988,0.00390625,-0.05444444444444435,0.001953125,-0.0003833082053509851,0.201171875
xgboost,4.0,threshold,10,-0.14223356440656498,0.037109375,-0.14500000000000002,0.083984375,-0.022512968594281035,0.001953125
xgboost,8.0,expgrad,10,-0.08771055806986952,0.001953125,0.03388888888888891,0.048828125,-0.006132931285615761,0.001953125
xgboost,8.0,reweighting,10,-0.02418066646751571,0.001953125,-0.061111111111111116,0.001953125,-3.833082053511516e-05,0.5703125
xgboost,8.0,threshold,10,-0.13299261159196946,0.009765625,-0.2370891995986666,0.00390625,-0.05384202591163473,0.001953125
xgboost,inf,expgrad,1,-0.1254251007645521,,-0.20777777777777773,,-0.008790534842715858,
xgboost,inf,reweighting,1,-0.12877009088162672,,-0.2577777777777778,,-0.0033986660874453234,
xgboost,inf,threshold,1,-0.2211835023942917,,-0.38555555555555554,,-0.03536657041371727,
